county_name,vrdb_precinct_code,analysis_precinct_code,analysis_precinct_name,notes
OKANOGAN,1001,29,NORTH OMAK,"NORTH OMAK 1001 -> NORTH OMAK 29 (exact name match, elimination !turnout, 1 candidate(s), turnout 0.05)"
OKANOGAN,1003,61,ENGH,"ENGH 1003 -> ENGH 61 (exact name match, elimination, 1 candidate(s), turnout 0.07)"
OKANOGAN,1004,188,OMAK RIVER,"OMAK RIVER 1004 -> OMAK RIVER 188 (exact name match, elimination !turnout, 1 candidate(s), turnout 0.00)"
OKANOGAN,1007,237,FLATS,"FLATS 1007 -> FLATS 237 (exact name match, elimination, 1 candidate(s), turnout 0.07)"
OKANOGAN,1009,17,ELMWAY,"ELMWAY 1009 -> ELMWAY 17 (exact name match, elimination !turnout, 1 candidate(s), turnout 0.00)"
OKANOGAN,1301,227,OKANOGAN AIRPORT,"OKANOGAN AIRPORT 1301 -> OKANOGAN AIRPORT 227 (exact name match, elimination !turnout, 1 candidate(s), turnout 0.00)"
OKANOGAN,1302,305,OMAK AIRPORT,"OMAK AIRPORT 1302 -> OMAK AIRPORT 305 (exact name match, elimination !turnout, 1 candidate(s), turnout 0.00)"
OKANOGAN,2001,21,MAZAMA,"MAZAMA 2001 -> MAZAMA 21 (exact name match, elimination, 1 candidate(s), turnout 0.32)"
OKANOGAN,2008,6,BOSTON,"BOSTON 2008 -> BOSTON 6 (exact name match, elimination, 1 candidate(s), turnout 0.11)"
OKANOGAN,2009,1,ALMA,"ALMA 2009 -> ALMA 1 (exact name match, elimination, 1 candidate(s), turnout 0.11)"
OKANOGAN,2010,8,CARLTON,"CARLTON 2010 -> CARLTON 8 (exact name match, elimination !turnout, 1 candidate(s), turnout 0.67)"
OKANOGAN,2011,7,BREWSTER RURAL,"BREWSTER RURAL 2011 -> BREWSTER RURAL 7 (exact name match, qualifier, 1 candidate(s), turnout 0.11)"
OKANOGAN,2012,20,MALOTT,"MALOTT 2012 -> MALOTT 20 (exact name match, elimination, 1 candidate(s), turnout 0.28)"
OKANOGAN,2015,30,PATEROS RURAL,"PATEROS RURAL 2015 -> PATEROS RURAL 30 (exact name match, qualifier !turnout, 1 candidate(s), turnout 0.39)"
OKANOGAN,2016,176,STARR,"STARR 2016 -> STARR 176 (exact name match, elimination, 1 candidate(s), turnout 0.12)"
OKANOGAN,3002,28,NIGHTHAWK,"NIGHTHAWK 3002 -> NIGHTHAWK 28 (exact name match, elimination, 1 candidate(s), turnout 0.09)"
OKANOGAN,3003,42,WESTLAKE,"WESTLAKE 3003 -> WESTLAKE 42 (exact name match, elimination, 1 candidate(s), turnout 0.22)"
OKANOGAN,3004,13,EASTLAKE,"EASTLAKE 3004 -> EASTLAKE 13 (exact name match, elimination !turnout, 1 candidate(s), turnout 0.00)"
OKANOGAN,3006,9,CHESAW,"CHESAW 3006 -> CHESAW 9 (exact name match, elimination !turnout, 1 candidate(s), turnout 0.00)"
OKANOGAN,3008,35,SOUTH OROVILLE,"SOUTH OROVILLE 3008 -> SOUTH OROVILLE 35 (exact name match, elimination, 1 candidate(s), turnout 0.09)"
OKANOGAN,3011,162,NORTH TONASKET,"NORTH TONASKET 3011 -> NORTH TONASKET 162 (exact name match, elimination !turnout, 1 candidate(s), turnout 0.00)"
OKANOGAN,3012,165,SIWASH CREEK,"SIWASH CREEK 3012 -> SIWASH CREEK 165 (exact name match, elimination !turnout, 1 candidate(s), turnout 0.00)"
OKANOGAN,3014,31,PINE CREEK,"PINE CREEK 3014 -> PINE CREEK 31 (exact name match, elimination !turnout, 1 candidate(s), turnout 0.04)"
OKANOGAN,3016,74,SOURDOUGH,"SOURDOUGH 3016 -> SOURDOUGH 74 (exact name match, elimination, 1 candidate(s), turnout 0.19)"
OKANOGAN,3017,34,SAN POIL,"SAN POIL 3017 -> SAN POIL 34 (exact name match, elimination, 1 candidate(s), turnout 0.25)"
OKANOGAN,3018,10,CONCONULLY RURAL,"CONCONULLY RURAL 3018 -> CONCONULLY RURAL 10 (exact name match, qualifier !turnout, 1 candidate(s), turnout 0.70)"
OKANOGAN,3019,33,RIVERSIDE RURAL,"RIVERSIDE RURAL 3019 -> RIVERSIDE RURAL 33 (exact name match, qualifier !turnout, 1 candidate(s), turnout 0.47)"
OKANOGAN,3020,38,TUNK CREEK,"TUNK CREEK 3020 -> TUNK CREEK 38 (exact name match, elimination !turnout, 1 candidate(s), turnout 0.00)"
OKANOGAN,3022,32,POGUE,"POGUE 3022 -> POGUE 32 (exact name match, elimination, 1 candidate(s), turnout 0.18)"
OKANOGAN,3023,11,DUCK LAKE,"DUCK LAKE 3023 -> DUCK LAKE 11 (exact name match, elimination !turnout, 1 candidate(s), turnout 0.00)"
