county_name,vrdb_precinct_code,analysis_precinct_code,analysis_precinct_name,notes
WHITMAN,1200,31,TEKOA IN,"TEKOA 1200 -> TEKOA IN (incorporated, medium, turnout 0.549)"
WHITMAN,1300,107,PALOUSE 107,"PALOUSE 1300 -> PALOUSE 107 (elimination, high, turnout 0.506)"
WHITMAN,2000,33,FARMINGTON IN,"FARMINGTON 2000 -> FARMINGTON IN (incorporated, medium, turnout 0.537)"
WHITMAN,2100,32,OAKESDALE IN,"OAKESDALE 2100 -> OAKESDALE IN (incorporated, medium, turnout 0.497)"
WHITMAN,2200,35,COLTON IN,"COLTON 2200 -> COLTON IN (incorporated, medium, turnout 0.395)"
WHITMAN,2300,34,GARFIELD IN,"GARFIELD 2300 -> GARFIELD IN (incorporated, medium, turnout 0.487)"
WHITMAN,2400,36,UNIONTOWN IN,"UNIONTOWN 2400 -> UNIONTOWN IN (incorporated, medium, turnout 0.439)"
WHITMAN,2500,47,ROSALIA IN,"ROSALIA 2500 -> ROSALIA IN (incorporated, medium, turnout 0.525)"
WHITMAN,2600,45,ST JOHN IN,"ST. JOHN 2600 -> ST JOHN IN (incorporated, medium, turnout 0.562)"
WHITMAN,2700,43,ENDICOTT IN,"ENDICOTT 2700 -> ENDICOTT IN (incorporated, medium, turnout 0.425)"
WHITMAN,2800,46,MALDEN IN,"MALDEN 2800 -> MALDEN IN (incorporated, medium, turnout 0.663)"
WHITMAN,2900,37,ALBION IN,"ALBION 2900 -> ALBION IN (incorporated, medium, turnout 0.321)"
WHITMAN,3000,44,LAMONT IN,"LAMONT 3000 -> LAMONT IN (incorporated, medium, turnout 0.364)"
WHITMAN,3100,42,LACROSSE IN,"LACROSSE 3100 -> LACROSSE IN (incorporated, medium, turnout 0.468)"
WHITMAN,5200,148,LAMONT 148,"LAMONT RURAL 5200 -> LAMONT 148 (elimination, high, turnout 0.551)"
WHITMAN,5601,151,ROSALIA 151,"ROSALIA RURAL 5601 -> ROSALIA 151 (elimination, high, turnout 0.649)"
WHITMAN,5700,102,OAKESDALE 102,"OAKESDALE RURAL 5700 -> OAKESDALE 102 (elimination, high, turnout 0.525)"
WHITMAN,6400,147,ENDICOTT 147,"ENDICOTT RURAL 6400 -> ENDICOTT 147 (elimination, high, turnout 0.879)"
WHITMAN,6600,104,STEPTOE 104,"STEPTOE RURAL 6600 -> STEPTOE 104 (elimination, high, turnout 0.439)"
WHITMAN,6601,136,COLFAX RURAL 136,"COLFAX NORTH 6601 -> COLFAX RURAL 136 (elimination, high, turnout 0.488)"
WHITMAN,6800,103,FARMINGTON 103,"FARMINGTON RURAL 6800 -> FARMINGTON 103 (elimination, high, turnout 0.622)"
WHITMAN,6801,105,GARFIELD 105,"GARFIELD RURAL 6801 -> GARFIELD 105 (elimination, high, turnout 0.466)"
WHITMAN,7200,146,LACROSSE 146,"LACROSSE RURAL 7200 -> LACROSSE 146 (elimination, high, turnout 0.476)"
WHITMAN,7400,143,DUSTY 143,"DUSTY RURAL 7400 -> DUSTY 143 (elimination, high, turnout 0.691)"
WHITMAN,7500,138,WILCOX 138,"WILCOX RURAL 7500 -> WILCOX 138 (elimination, high, turnout 0.448)"
WHITMAN,7801,106,PALOUSE RURAL 106,"PALOUSE RURAL 7801 -> PALOUSE RURAL 106 (qualifier, high, turnout 0.489)"
WHITMAN,8200,144,HAY 144,"HAY RURAL 8200 -> HAY 144 (elimination, high, turnout 0.5)"
WHITMAN,8801,108,COLTON 108,"COLTON RURAL 8801 -> COLTON 108 (elimination, high, turnout 0.431)"
WHITMAN,9900,109,UNIONTOWN 109,"UNIONTOWN RURAL 9900 -> UNIONTOWN 109 (elimination, high, turnout 0.433)"
WHITMAN,5500,150,MALDEN 150,"MALDEN RURAL 5500 -> MALDEN 150 (elimination, high, turnout 0.50). Added 2026-08-07: this code had no ballots when the first 29 rows were drawn, so it and analysis precinct 150 sat as unmatched orphans on both sides. Ballots arrived and each became the sole survivor for the other -- forced, not guessed."
WHITMAN,8000,145,HOOPER 145,"HOOPER RURAL 8000 -> HOOPER 145 (elimination, high, turnout 0.52). Same story as 5500: no ballots at first draw, paired by elimination once volume arrived."
