state,cohort,cvap,cvap_pct,cvap_total,acs_vintage,table
WA,18-29,1108225,19.8495,5583137,2024,B29001
WA,30-44,1490702,26.7001,5583137,2024,B29001
WA,45-64,1724817,30.8933,5583137,2024,B29001
WA,65+,1259393,22.5571,5583137,2024,B29001
NY,18-29,2836296,20.1089,14104696,2024,B29001
NY,30-44,3406848,24.1540,14104696,2024,B29001
NY,45-64,4507095,31.9546,14104696,2024,B29001
NY,65+,3354457,23.7826,14104696,2024,B29001
ID,18-29,300894,21.3227,1411147,2024,B29001
ID,30-44,359408,25.4692,1411147,2024,B29001
ID,45-64,426442,30.2195,1411147,2024,B29001
ID,65+,324403,22.9886,1411147,2024,B29001
