district,year,dem,incumbency,residual,overperf,field_share,media_share,professional_share,log_operational_total,coded_total,coded_n
ld32,2022,LAUREN DAVIS,D-INC,8.87,10.93,0.0,0.019336641756265233,0.12855851562761167,4.660562219428783,45768.030000000006,55
ld12,2024,HEATHER KOELLEN,R-INC,6.09,7.87,0.06961539379190228,0.36981366163242907,0.5407324696394914,4.923378743036038,83826.0,50
ld14,2024,CHELSEA DIMAS,OPEN,5.81,6.5,0.2303253395504435,0.39540015282477986,0.23920994753946107,5.2132595472996455,163402.82,108
ld18,2022,JOHN ZINGALE,OPEN,5.19,5.38,0.37824938320796114,0.4810620049274101,0.12990750933184445,5.016837821018525,103953.19,52
ld30,2024,JAMILA E. TAYLOR,D-INC,4.76,6.53,0.40091735216211,0.06246836774915792,0.4480611549236751,5.191559071597567,155438.66999999998,141
ld31,2022,HOLLY STANTON,R-INC,2.78,0.26,0.7788813185712139,0.0,0.2211186814287861,3.680393536358507,4790.64,4
ld26,2022,ADISON RICHARDS,R-INC,2.54,2.45,0.0,0.0,0.6277250184657591,3.2777008762887925,1895.4,5
ld16,2024,LINDA GUNSHEFSKI,R-INC,2.02,-0.71,0.5734709796797581,0.3587981662417542,0.05599466990470155,4.8258845789562725,66970.66,40
ld09,2024,PATRICK MILLER,R-INC,1.82,-0.49,0.6921890011913455,0.0,0.0,3.716353978363673,5204.2,9
ld39,2022,JESSICA WADHAMS,OPEN,0.92,-0.06,0.8685629740213001,0.0,0.033323114244964876,4.352315681335162,22506.9,20
ld02,2024,ERASMO RUIZ GONZALEZ,R-INC,0.74,-0.92,0.519902344043066,0.09544669391689181,0.1985953571053447,4.054213427059245,11329.57,26
ld38,2022,JULIO CORTES,OPEN,0.27,1.33,0.4332124344143119,0.0959515230328809,0.39193375055313234,4.947367053057327,88586.4,95
ld10,2022,CLYDE SHAVERS,OPEN,-0.09,1.64,0.07038980826989798,0.6728302283668325,0.2189127122077472,5.624601179874845,421309.42999999993,193
ld49,2022,SHARON WYLIE,D-INC,-0.28,2.8,0.3627522592744707,0.045928889713253575,0.3169535014154047,4.531038651461152,33965.55,73
ld27,2022,LAURIE JINKINS,D-INC,-0.39,2.53,0.03686723091458564,0.0,0.12039073404384107,5.337447739854334,217494.23,150
ld17,2022,TERRI NILES,R-INC,-0.5,0.54,0.74081706768969,0.15265594150788936,0.037620989100948646,4.697571062576194,49839.200000000004,59
ld49,2024,SHARON WYLIE,D-INC,-0.88,4.99,0.1930846067816137,0.01136742446757312,0.6300264902077171,4.562386019555218,36507.83,61
ld24,2024,ADAM BERNBAUM,D-INC,-0.97,2.46,0.31895333191203695,0.4020025448830658,0.23679627076971818,5.240480928886363,173972.63,117
ld10,2020,ANGIE HOMOLA,OPEN,-1.01,3.15,0.0,0.0,0.605052185751021,2.5192371614969833,330.55,2
ld35,2022,JAMES DEHART,R-INC,-1.03,-3.76,0.4369105235184405,0.018943350721525164,0.05412385920435761,3.9655812487200706,9238.070000000002,41
ld25,2022,JAMIE SMITH,OPEN,-1.15,-2.35,0.05648384213926749,0.0,0.0,3.4124286251923555,2584.81,32
ld21,2024,STROM PETERSON,D-INC,-1.18,0.42,0.4335691730706921,0.07746076581870483,0.30400704583916155,4.850411444441988,70861.68000000001,89
ld03,2024,NATASHA HILL,D-INC,-1.32,1.83,0.2546600030586029,0.380305323545236,0.2885012291920219,4.972661337176859,93899.08,45
ld44,2024,APRIL BERG,OPEN,-1.43,2.29,0.36823731102249047,0.04511957298137505,0.47265675281943476,5.234936721741797,171765.81,162
ld38,2024,MARY FOSSE,D-INC,-1.48,1.51,0.4440091303303442,0.0,0.49560167011172185,4.763363069173069,57991.33,63
ld27,2024,LAURIE JINKINS,D-INC,-1.54,1.65,0.044222965916105035,0.014247607872968743,0.14705219780356835,5.147112116937803,140317.59,80
ld23,2022,TARRA SIMMONS,OPEN,-1.7,3.02,0.03430147754819178,0.006089766760569329,0.5690168433836457,4.833750814240753,68194.73,139
ld10,2024,CLYDE SHAVERS,D-INC,-1.96,2.82,0.1456242185018472,0.5796247237793234,0.2625309574311328,5.499285201823822,315707.72000000003,89
ld22,2022,BETH DOGLIO,OPEN,-2.04,1.2,0.3451752539262252,0.02409210248878245,0.14031382213899057,5.182526207844722,152239.1,100
ld29,2018,MELANIE MORGAN,D-INC,-2.1,2.1,0.22209592811856382,0.0032299475640398343,0.7319869701449152,4.985293066354783,96670.3,92
ld23,2020,TARRA SIMMONS,D-INC,-2.28,2.83,0.23711457591007398,0.07934679267235081,0.559010348693591,4.947507486863201,88615.04999999999,93
ld19,2022,KELLI HUGHES-HAM,R-INC,-2.29,-6.39,0.3162292253755181,0.6837707746244818,0.0,4.214791146922231,16398.010000000002,13
ld25,2024,CAMERON SEVERNS,R-INC,-3.71,-4.86,0.34496437887863585,0.1112409456671281,0.5258525835183917,5.215826729772511,164371.58,116
ld18,2024,DEKEN LETINICH,OPEN,-4.05,-0.92,0.21172996210615233,0.35086153922392915,0.39014320507057204,5.175312972305971,149731.43,70
ld29,2022,MELANIE MORGAN,D-INC,-4.12,-1.97,0.3948101860650474,0.21640683375572276,0.3087781082675285,4.845309613966784,70034.11,83
ld23,2024,TARRA SIMMONS,D-INC,-4.22,0.91,0.14767606885253087,0.004970086167093892,0.4933749765695938,5.044984684251818,110913.56999999999,146
ld35,2024,JAMES DEHART,R-INC,-5.56,-6.42,0.45590123371900254,0.0,0.4554113130839967,4.445960365458963,27922.89,45
ld19,2020,MARIANNA EVERSON,D-INC,-7.46,-7.29,0.0,0.0,0.0,2.3341520529922866,215.85,2
ld15,2022,LINDSEY KEESLING,OPEN,-9.58,-9.82,0.11997107688329474,0.4280238184739225,0.27637378818605607,3.62082184431538,4176.59,13
ld06,2022,MICHAELA KELSO,R-INC,-10.02,-8.15,0.6269678252321778,0.13282545225135348,0.1833947094294224,3.7366131970125034,5452.719999999999,15
