county,CON,DEM,LIB,REP,UNA,total,source_url,retrieved
ADA,819,52985,3585,159349,84596,301334,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
ADAMS,13,212,23,2305,522,3075,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
BANNOCK,174,5799,498,23952,15320,45743,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
BEAR LAKE,20,145,14,3139,475,3793,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
BENEWAH,52,473,34,4234,1258,6051,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
BINGHAM,111,1614,166,16956,4639,23486,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
BLAINE,21,4492,145,4776,5621,15055,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
BOISE,37,372,58,4216,1117,5800,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
BONNER,244,2661,396,25368,5492,34161,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
BONNEVILLE,253,5321,671,42146,15680,64071,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
BOUNDARY,49,375,74,6667,1171,8336,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
BUTTE,3,69,4,1276,255,1607,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
CAMAS,3,59,6,649,109,826,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
CANYON,519,12286,1263,74543,26831,115442,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
CARIBOU,16,128,36,3194,543,3917,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
CASSIA,29,578,59,8157,1665,10488,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
CLARK,2,22,3,296,50,373,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
CLEARWATER,23,319,38,3537,986,4903,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
CUSTER,6,144,9,2393,455,3007,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
ELMORE,68,1200,142,8108,2822,12340,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
FRANKLIN,52,217,50,6549,1081,7949,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
FREMONT,27,306,41,6170,1137,7681,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
GEM,70,703,103,9378,1981,12235,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
GOODING,36,515,58,4994,1209,6812,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
IDAHO,56,517,85,8981,1554,11193,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
JEFFERSON,78,549,117,13951,2778,17473,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
JEROME,54,836,71,6078,2033,9072,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
KOOTENAI,565,9761,1342,76417,23259,111344,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
LATAH,72,4400,273,11495,7158,23398,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
LEMHI,11,358,35,4242,779,5425,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
LEWIS,16,127,16,1678,385,2222,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
LINCOLN,8,156,11,1649,400,2224,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
MADISON,128,931,215,15401,4445,21120,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
MINIDOKA,36,649,57,6213,1614,8569,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
NEZ PERCE,98,2633,201,13095,6198,22225,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
ONEIDA,15,96,26,2332,347,2816,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
OWYHEE,39,370,45,4302,883,5639,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
PAYETTE,84,960,124,9773,2609,13550,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
POWER,10,384,25,2310,752,3481,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
SHOSHONE,34,1018,72,4649,1576,7349,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
TETON,19,1750,85,3406,2431,7691,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
TWIN FALLS,147,3481,359,28633,8590,41210,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
VALLEY,24,1099,81,5424,1786,8414,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
WASHINGTON,13,416,42,4968,861,6300,https://archive.voteidaho.gov/data/voter-registrations/202606_CountyTotals.csv,2026-08-15
