cycle,district_id,district_num,pro_dem,pro_rep,total,unmatched,net_pro_dem_m,total_m,residual_pp,actual_dem_pct,predicted_dem_pct,actual_margin
2018,cd01,1,2365.29,0.0,2365.29,0.0,0.00236529,0.00236529,-4.15,52.37,56.52,4.74
2018,cd03,3,2116877.33,1058141.91,3175019.24,0.0,1.05873542,3.17501924,2.18,47.32,45.14,-5.36
2018,cd04,4,30262.35,0.0,30262.35,0.0,0.030262349999999997,0.030262349999999997,-4.62,37.22,41.84,-25.55
2018,cd05,5,132546.07,101982.53,234528.6,0.0,0.030563540000000007,0.2345286,-1.45,45.27,46.72,-9.46
2018,cd06,6,2554.61,0.0,2554.61,0.0,0.00255461,0.00255461,-4.51,63.89,68.4,27.77
2018,cd07,7,1891.14,0.0,1891.14,0.0,0.0018911400000000001,0.0018911400000000001,5.82,83.56,77.74,67.12
2018,cd08,8,12266874.36,4008939.77,16275814.13,0.0,8.25793459,16.27581413,8.78,52.42,43.64,4.84
2018,cd10,10,1771.36,0.0,1771.36,0.0,0.0017713599999999998,0.0017713599999999998,-6.07,61.55,67.62,23.09
2020,cd01,1,1891.9,0.0,1891.9,0.0,0.0018919000000000002,0.0018919000000000002,1.74,58.62,56.88,17.25
2020,cd02,2,1665.1,0.0,1665.1,0.0,0.0016650999999999999,0.0016650999999999999,-3.25,63.24,66.49,26.48
2020,cd03,3,1125777.39,2665500.92,3791278.31,0.0,-1.53972353,3.79127831,-0.2,43.5,43.7,-13.01
2020,cd04,4,9299.09,506.5,9805.59,0.0,0.00879259,0.00980559,-1.21,33.69,34.9,-32.63
2020,cd05,5,1079.04,153526.12,154605.16,0.0,-0.15244707999999998,0.15460516,-0.72,38.59,39.31,-22.82
2020,cd06,6,1979.86,0.0,1979.86,0.0,0.00197986,0.00197986,-2.84,59.45,62.29,18.9
2020,cd07,7,1713.56,0.0,1713.56,0.0,0.00171356,0.00171356,8.01,83.19,75.18,66.37
2020,cd08,8,67916.62,50500.0,118416.62,0.0,0.017416619999999994,0.11841662,0.03,51.79,51.76,3.57
2020,cd09,9,1502.63,0.0,1502.63,0.0,0.00150263,0.00150263,7.17,74.26,67.09,48.52
2022,cd01,1,1004.27,0.0,1004.27,0.0,0.00100427,0.00100427,4.91,63.56,58.65,27.13
2022,cd02,2,570.01,0.0,1133.46,563.45,0.00057001,0.00113346,-3.51,60.18,63.69,20.35
2022,cd03,3,3590321.48,2137598.14,5727919.62,0.0,1.45272334,5.72791962,9.16,50.43,41.27,0.87
2022,cd04,4,660000.69,1075694.94,1735695.63,0.0,-0.41569425,1.73569563,-2.4,31.98,34.38,-36.05
2022,cd05,5,1427.81,107830.0,109257.81,0.0,-0.10640219000000001,0.10925781,1.46,40.39,38.93,-19.23
2022,cd06,6,541.92,2500.0,3041.92,0.0,-0.00195808,0.00304192,-0.96,60.07,61.03,20.14
2022,cd07,7,3044.2,0.0,3044.2,0.0,0.0030442,0.0030442,9.19,85.75,76.56,71.49
2022,cd08,8,8637292.04,8836681.25,17473973.29,0.0,-0.1993892100000009,17.47397329,0.38,53.45,53.07,6.9
2022,cd09,9,505.16,0.0,505.16,0.0,0.00050516,0.00050516,5.59,71.75,66.16,43.49
2022,cd10,10,10.0,0.0,10.0,0.0,1e-05,1e-05,-3.22,57.07,60.29,14.13
2024,cd01,1,3160.28,0.0,3160.28,0.0,0.00316028,0.00316028,7.59,63.17,55.58,26.35
2024,cd03,3,12352149.22,6261985.82,18614135.04,0.0,6.090163400000001,18.61413504,0.06,51.96,51.9,3.92
2024,cd05,5,69465.5,164107.58,234017.33,444.25,-0.09464207999999999,0.23401733,1.55,39.37,37.82,-21.25
2024,cd06,6,2738542.96,0.0,2738542.96,0.0,2.7385429599999997,2.7385429599999997,-3.52,56.84,60.36,13.67
2024,cd07,7,3055.21,0.0,3055.21,0.0,0.00305521,0.00305521,13.7,84.18,70.48,68.35
2024,cd08,8,415442.42,0.0,415442.42,0.0,0.41544242,0.41544242,6.82,54.09,47.27,8.18
2024,cd10,10,3128.58,0.0,3128.58,0.0,0.0031285799999999997,0.0031285799999999997,-1.17,58.67,59.84,17.35
