district,year,dem_candidate,rep_candidate,actual_dem_pct,baseline_dem_pct,overperformance,pvi_cycles,baseline_ok,two_party_votes,incumbency,inc_signed,candidate_quality,local_trend,fin_log2_dr,d_receipts,r_receipts,is_midterm,finance_controlled,expected_from_factors,unexplained_residual
cd01,2018,SUZAN DELBENE,JEFFREY BEELER,52.37,49.08,3.29,1,True,198151,OPEN,0,2.0,0.0,6.51,2110820.42,23157.67,1,True,5.31,-2.02
cd01,2020,SUZAN DELBENE,"JEFFREY BEELER, SR.",58.62,49.08,9.54,1,True,426351,D-INC,3.5,2.0,1.48,,2189500.94,,0,False,4.84,4.7
cd01,2022,SUZAN DELBENE,VINCENT J CAVALERI,63.56,51.69,11.87,2,True,286303,D-INC,3.5,2.0,3.0,3.75,2502763.72,185847.78,1,True,6.83,5.04
cd01,2024,SUZAN DELBENE,JEB BREWER,63.17,50.11,13.06,2,True,359269,D-INC,3.5,3.0,2.47,8.09,3850571.4,14151.0,0,True,9.04,4.02
cd02,2020,RICK LARSEN,TIMOTHY S. HAZELO,63.24,61.73,1.51,1,True,403636,D-INC,3.5,3.0,0.0,4.7,1284956.04,49478.22,0,True,5.48,-3.97
cd02,2022,RICK LARSEN,DAN MATTHEWS,60.18,61.28,-1.1,2,True,337302,D-INC,3.5,3.0,-0.19,3.54,1697229.23,145529.16,1,True,4.75,-5.85
cd03,2018,CAROLYN LONG,JAIME HERRERA BEUTLER,47.32,41.82,5.5,1,True,306512,R-INC,-4.0,0.0,0.0,0.52,3883284.0,2705354.23,1,True,0.69,4.81
cd03,2020,CAROLYN LONG,JAIME HERRERA BEUTLER,43.5,41.82,1.68,1,True,416926,R-INC,-4.0,0.0,3.0,-0.14,4187790.7,4623991.32,0,True,2.6,-0.92
cd03,2022,MARIE GLUESENKAMP PEREZ,JOE KENT,50.43,43.2,7.23,2,True,317738,OPEN,0,3.0,-1.91,0.04,3924093.95,3816390.01,1,True,1.03,6.2
cd03,2024,MARIE GLUESENKAMP PEREZ,JOE KENT,51.96,45.35,6.61,2,True,413912,D-INC,3.5,0.0,3.0,2.16,11856001.72,2654419.86,0,True,5.19,1.42
cd04,2018,CHRISTINE BROWN,DAN NEWHOUSE,37.22,36.63,0.59,1,True,224415,R-INC,-4.0,-3.0,0.0,-1.28,475862.12,1155667.61,1,True,-1.48,2.07
cd04,2020,DOUGLAS E. MCKINLEY,DAN NEWHOUSE,33.69,36.63,-2.94,1,True,304775,R-INC,-4.0,-3.0,-0.25,-4.26,61816.45,1184750.4,0,True,-3.17,0.23
cd04,2022,DOUG WHITE,DAN NEWHOUSE,31.98,35.4,-3.42,2,True,221053,R-INC,-4.0,3.0,-1.77,-1.47,774333.86,2148295.38,1,True,-0.39,-3.03
cd05,2018,LISA BROWN,CATHY MCMORRIS RODGERS,45.27,40.78,4.49,1,True,320008,R-INC,-4.0,3.0,0.0,-0.02,5763983.16,5863432.0,1,True,1.67,2.82
cd05,2020,DAVE WILSON,CATHY MCMORRIS RODGERS,38.59,40.78,-2.19,1,True,403552,R-INC,-4.0,-2.0,2.45,-5.29,112782.51,4419970.26,0,True,-1.25,-0.94
cd05,2022,NATASHA HILL,CATHY MCMORRIS RODGERS,40.39,40.13,0.26,2,True,314592,R-INC,-4.0,-3.0,-3.0,-4.09,377499.11,6416913.26,1,True,-5.14,5.4
cd05,2024,CARMELA CONROY,MICHAEL BAUMGARTNER,39.37,42.41,-3.04,2,True,396245,OPEN,0,0.0,0.9,-1.32,604595.92,1505190.06,0,True,1.19,-4.23
cd06,2018,DEREK KILMER,DOUGLAS DIGHTMAN,63.89,57.57,6.32,1,True,323069,D-INC,3.5,3.0,0.0,5.66,2350189.52,46610.0,1,True,5.96,0.36
cd06,2020,DEREK KILMER,ELIZABETH KREISELMAIER,59.45,57.57,1.88,1,True,416212,D-INC,3.5,3.0,1.19,4.03,2557718.74,156123.45,0,True,6.03,-4.15
cd06,2022,DEREK KILMER,ELIZABETH KREISELMAIER,60.07,56.84,3.23,2,True,347368,D-INC,3.5,3.0,-2.22,2.63,2637628.09,426186.56,1,True,2.77,0.46
cd06,2024,EMILY RANDALL,DREW C MACEWEN,56.84,56.29,0.55,2,True,420649,OPEN,0,3.0,0.31,2.95,1978942.81,255579.9,0,True,4.16,-3.61
cd07,2018,PRAMILA JAYAPAL,CRAIG KELLER,83.56,70.0,13.56,1,True,394681,D-INC,3.5,3.0,0.0,8.26,2212622.98,7204.0,1,True,7.27,6.29
cd07,2020,PRAMILA JAYAPAL,CRAIG KELLER,83.19,70.0,13.19,1,True,465349,D-INC,3.5,3.0,3.0,9.16,2655142.94,4644.0,0,True,9.98,3.21
cd07,2022,PRAMILA JAYAPAL,CLIFF MOON,85.75,73.5,12.25,2,True,345205,D-INC,3.5,3.0,-0.19,8.43,2772436.29,8019.18,1,True,7.22,5.03
cd07,2024,PRAMILA JAYAPAL,DAN ALEXANDER,84.18,70.6,13.58,2,True,418506,D-INC,3.5,3.0,1.28,,2824206.25,,0,False,5.11,8.47
cd08,2018,KIM SCHRIER,DINO ROSSI,52.42,39.33,13.09,1,True,312540,OPEN,0,-3.0,0.0,0.75,8144753.17,4846553.35,1,True,0.31,12.78
cd08,2020,KIM SCHRIER,JESSE JENSEN,51.79,39.33,12.46,1,True,411546,D-INC,3.5,3.0,3.0,2.67,5452642.06,857594.08,0,True,6.7,5.76
cd08,2022,KIM SCHRIER,MATT LARKIN,53.45,42.76,10.69,2,True,334627,D-INC,3.5,3.0,-0.32,1.78,9640767.33,2810552.79,1,True,3.76,6.93
cd08,2024,KIM SCHRIER,CARMEN GOERS,54.09,40.22,13.87,2,True,415231,D-INC,3.5,3.0,0.83,,6530378.69,,0,False,4.77,9.1
cd09,2020,ADAM SMITH,DOUG BASLER,74.26,62.62,11.64,1,True,348468,D-INC,3.5,3.0,0.0,5.87,1327196.11,22729.8,0,True,6.07,5.57
cd09,2022,ADAM SMITH,DOUG BASLER,71.75,62.88,8.87,2,True,239377,D-INC,3.5,3.0,0.34,3.37,1386775.73,133962.28,1,True,5.06,3.81
cd10,2018,DENNY HECK,JOSEPH BRUMBLES,61.55,56.11,5.44,1,True,270034,D-INC,3.5,3.0,0.0,8.28,1632852.46,5243.0,1,True,7.28,-1.84
cd10,2022,MARILYN STRICKLAND,KEITH R SWANK,57.07,55.65,1.42,2,True,267288,D-INC,3.5,3.0,-1.78,3.36,1911259.96,185895.22,1,True,3.47,-2.05
cd10,2024,MARILYN STRICKLAND,DON HEWETT,58.67,55.41,3.26,2,True,347207,D-INC,3.5,3.0,-0.46,15.67,2067308.22,39.57,0,True,10.67,-7.41
ld01,2018,DEREK STANFORD,JOSH COLVER,68.0,60.48,7.52,1,True,47813,D-INC,3.5,2.0,0.0,5.38,125145.51,3003.89,1,True,5.4,2.12
ld01,2020,DAVINA DUERR,ADAM BARTHOLOMEW,66.48,60.48,6.0,1,True,87275,D-INC,3.5,2.0,3.0,,,5266.79,0,False,5.98,0.02
ld01,2022,DAVINA DUERR,JOHN PEEPLES,70.88,62.79,8.09,2,True,67783,D-INC,3.5,0.0,-0.17,,,,1,False,2.77,5.32
ld01,2024,DAVINA DUERR,MARK DAVIES,69.28,64.53,4.75,2,True,79635,D-INC,3.5,-3.0,3.0,7.08,75974.43,560.1,0,True,6.42,-1.67
ld02,2018,ANNELIESE FELD,ANDREW BARKIS,40.83,38.46,2.37,1,True,56268,R-INC,-4.0,-2.0,0.0,-3.42,11341.4,121445.57,1,True,-2.14,4.51
ld02,2020,VERONICA WHITCHER ROCKETT,JT WILCOX,34.3,38.46,-4.16,1,True,81504,R-INC,-4.0,0.0,2.16,-4.6,14547.62,353498.86,0,True,-0.28,-3.88
ld02,2024,ERASMO RUIZ GONZALEZ,JIM MCCUNE,36.89,37.81,-0.92,2,True,75576,R-INC,-4.0,2.0,-2.79,-1.62,21122.26,64809.0,0,True,-1.65,0.73
ld03,2018,MARCUS RICCELLI,TOM TAYLOR,64.15,58.31,5.84,1,True,52280,OPEN,0,2.0,0.0,,131256.72,,1,False,3.07,2.77
ld03,2020,MARCUS RICCELLI,LAURA D CARDER,60.58,58.31,2.27,1,True,66237,D-INC,3.5,0.0,0.28,,154725.6,,0,False,3.11,-0.84
ld03,2022,MARCUS RICCELLI,SCOTTY NICOL,62.46,57.32,5.14,2,True,60373,D-INC,3.5,2.0,-1.62,4.01,266679.6,16598.25,1,True,3.5,1.64
ld03,2024,NATASHA HILL,TONY KIEPE,58.79,56.96,1.83,2,True,74393,D-INC,3.5,-2.0,0.87,2.71,111088.84,17009.77,0,True,3.03,-1.2
ld04,2018,TED CUMMINGS,MATT SHEA,42.26,35.99,6.27,1,True,68535,R-INC,-4.0,-2.0,0.0,-1.48,40430.42,112597.4,1,True,-1.16,7.43
ld04,2020,LORI FEAGAN,BOB MCCASLIN,39.6,35.99,3.61,1,True,89605,R-INC,-4.0,-2.0,2.41,1.56,168556.24,57280.24,0,True,2.18,1.43
ld04,2022,TED CUMMINGS,SUZANNE SCHMIDT,36.57,36.77,-0.2,2,True,65072,OPEN,0,3.0,-0.96,-4.86,3338.81,97099.02,1,True,-0.74,0.54
ld04,2024,MIGUEL VALENCIA,LEONARD CHRISTIAN,35.6,35.48,0.12,2,True,83326,R-INC,-4.0,-2.0,-0.85,-1.94,19344.6,74149.27,0,True,-2.03,2.15
ld05,2020,BILL RAMOS,KEN MONINSKI,60.8,50.0,10.8,0,False,90640,NONE,0,0.0,0.0,3.13,165840.67,18965.66,0,,,
ld05,2022,BILL RAMOS,KEN MONINSKI,59.45,48.65,10.8,0,False,70352,D-INC,3.5,2.0,0.0,3.43,158157.46,14691.75,1,,,
ld05,2024,VICTORIA HUNT,MARK HARGROVE,54.09,50.0,4.09,0,False,85038,D-INC,3.5,2.0,-2.06,3.41,174039.58,16343.44,0,,,
ld06,2018,KAY MURANO,MIKE VOLZ,46.55,44.58,1.97,1,True,68844,R-INC,-4.0,0.0,0.0,,139708.04,,1,False,1.47,0.5
ld06,2020,ZACK ZAPPONE,MIKE VOLZ,48.03,44.58,3.45,1,True,85690,OPEN,0,-2.0,3.0,1.04,193441.62,93880.36,0,True,3.12,0.33
ld06,2022,MICHAELA KELSO,JENNY GRAHAM,38.26,46.41,-8.15,2,True,59253,R-INC,-4.0,2.0,-0.1,,5803.13,,1,False,2.23,-10.38
ld06,2024,STEVEN MCCRAY II,MIKE VOLZ,37.63,48.78,-11.15,2,True,76149,OPEN,0,-2.0,-3.0,-3.76,8335.87,113066.15,0,True,-3.8,-7.35
ld07,2018,RANDALL (RANDY) MICHAELIS,JACQUELIN MAYCUMBER,31.62,30.29,1.33,1,True,69112,R-INC,-4.0,-2.0,0.0,,,110117.34,1,False,0.63,0.7
ld07,2020,GEORGIA D. DAVENPORT,JACQUELIN MAYCUMBER,28.05,30.29,-2.24,1,True,85458,OPEN,0,0.0,-0.65,-3.01,25348.62,203768.04,0,True,-0.82,-1.42
ld07,2024,PAUL &QUOT;ROCKY&QUOT; DEAN,HUNTER ABELL,29.18,28.48,0.7,2,True,82000,OPEN,0,3.0,-1.78,-1.19,32282.0,73579.99,0,True,0.5,0.2
ld08,2018,SHIR REGEV,BRAD KLIPPERT,34.72,36.62,-1.9,1,True,59075,OPEN,0,-2.0,0.0,-2.93,7529.38,57395.9,1,True,-1.13,-0.77
ld08,2024,JOHN CHRISTENSON,APRIL CONNORS,29.49,35.48,-5.99,2,True,72410,OPEN,0,0.0,0.0,-5.69,3378.82,174752.34,0,True,-1.69,-4.3
ld09,2018,JENN GOULET,MARY DYE,35.92,35.44,0.48,1,True,52185,R-INC,-4.0,-2.0,0.0,-0.24,60935.26,72139.28,1,True,-0.53,1.01
ld09,2020,JENN GOULET,MARK G. SCHOESLER,34.31,35.44,-1.13,1,True,66453,R-INC,-4.0,2.0,2.09,-7.13,2853.0,400557.92,0,True,-0.78,-0.35
ld09,2024,PATRICK MILLER,MARY DYE,35.07,35.56,-0.49,2,True,77134,R-INC,-4.0,0.0,-1.71,-2.94,13829.9,105776.91,0,True,-2.34,1.85
ld10,2018,SCOTT MCMULLEN,NORMA SMITH,47.84,46.36,1.48,1,True,72472,R-INC,-4.0,-2.0,0.0,-0.73,88813.43,147694.17,1,True,-0.78,2.26
ld10,2020,ANGIE HOMOLA,GREG GILDAY,49.51,46.36,3.15,1,True,90645,OPEN,0,2.0,3.0,-0.52,250800.29,358565.58,0,True,4.0,-0.85
ld10,2022,CLYDE SHAVERS,GREG GILDAY,50.11,48.47,1.64,2,True,74281,OPEN,0,0.0,0.25,0.55,520526.46,355692.43,1,True,1.65,-0.01
ld10,2024,CLYDE SHAVERS,CARRIE R. KENNEDY,53.27,50.45,2.82,2,True,88719,D-INC,3.5,0.0,0.73,4.55,427534.29,18238.95,0,True,4.69,-1.87
ld11,2020,STEVE BERGQUIST,SEAN ATCHISON,70.76,50.0,20.76,0,False,66530,NONE,0,0.0,0.0,,168265.0,,0,,,
ld11,2022,DAVID HACKNEY,STEPHANIE PETERS,69.45,48.65,20.8,0,False,46496,OPEN,0,2.0,0.0,,,2887.0,1,,,
ld12,2018,VALERIE SARRATT,MIKE STEELE,36.2,37.93,-1.73,1,True,58317,OPEN,0,0.0,0.0,,,47700.0,1,False,2.23,-3.96
ld12,2020,ADRIANNE MOORE,KEITH GOEHNER,39.57,37.93,1.64,1,True,75815,R-INC,-4.0,3.0,-0.52,0.38,125252.59,96534.03,0,True,1.48,0.16
ld12,2024,HEATHER KOELLEN,BRIAN BURNETT,46.69,38.82,7.87,2,True,83097,R-INC,-4.0,0.0,1.68,0.1,98120.94,91554.23,0,True,1.73,6.14
ld13,2018,JESSE HEGSTROM OAKEY,TOM DENT,28.66,30.79,-2.13,1,True,49292,R-INC,-4.0,3.0,0.0,-4.48,4396.69,98139.58,1,True,-0.59,-1.54
ld13,2020,EDUARDO CASTANEDA-D&#237;AZ,TOM DENT,28.6,30.79,-2.19,1,True,66805,R-INC,-4.0,0.0,-3.0,,,147050.21,0,False,-0.78,-1.41
ld14,2018,SASHA BENTLEY,CHRIS CORRY,41.26,37.08,4.18,1,True,52025,OPEN,0,0.0,0.0,,,,1,False,2.23,1.95
ld14,2020,TRACY RUSHING,CHRIS CORRY,40.34,37.08,3.26,1,True,66240,R-INC,-4.0,2.0,3.0,-2.36,26680.77,137308.88,0,True,2.31,0.95
ld14,2024,CHELSEA DIMAS,GLORIA MENDOZA,45.86,39.36,6.5,2,True,33586,OPEN,0,-2.0,0.0,0.54,248025.71,171004.77,0,True,0.62,5.88
ld15,2018,JACK MCENTIRE,BRUCE CHANDLER,40.29,41.8,-1.51,1,True,33535,R-INC,-4.0,0.0,0.0,-2.2,17620.43,80882.48,1,True,-0.69,-0.82
ld15,2020,AJ COOPER,JEREMIE DUFAULT,40.86,41.8,-0.94,1,True,46186,OPEN,0,-2.0,0.0,-8.69,702.62,289288.96,0,True,-4.04,3.1
ld15,2022,LINDSEY KEESLING,NIKKI TORRES,32.34,42.16,-9.82,2,True,22952,OPEN,0,0.0,0.85,-4.41,4568.16,97302.0,1,True,-0.41,-9.41
ld16,2018,EVERETT MAROON,WILLIAM 'BILL' JENKIN,37.41,36.27,1.14,1,True,47297,OPEN,0,-2.0,0.0,-1.12,23511.26,51236.75,1,True,-0.22,1.36
ld16,2020,FRANCES CHVATAL,MARK KLICKER,36.38,36.27,0.11,1,True,60626,OPEN,0,-2.0,1.55,-0.73,41971.84,69828.99,0,True,1.14,-1.03
ld16,2022,JEFF STRICKLER,MARK KLICKER,31.04,36.59,-5.55,2,True,54065,R-INC,-4.0,-2.0,-0.94,-1.7,19297.5,62865.0,1,True,-1.98,-3.57
ld16,2024,LINDA GUNSHEFSKI,MARK KLICKER,35.49,36.2,-0.71,2,True,71076,R-INC,-4.0,-2.0,-3.0,-0.04,75798.22,78045.0,0,True,-2.68,1.97
ld17,2018,TANISHA HARRIS,VICKI KRAFT,49.35,44.16,5.19,1,True,58476,R-INC,-4.0,-2.0,0.0,0.32,226060.57,180684.68,1,True,-0.25,5.44
ld17,2020,TANISHA L. HARRIS,VICKI KRAFT,48.92,44.16,4.76,1,True,82045,R-INC,-4.0,2.0,3.0,,,115682.26,0,False,4.55,0.21
ld17,2022,TERRI NILES,KEVIN WATERS,46.77,46.23,0.54,2,True,69324,R-INC,-4.0,2.0,0.63,-1.48,54750.06,153230.68,1,True,0.98,-0.44
ld17,2024,MARLA KEETHLER,PAUL HARRIS,48.83,48.87,-0.04,2,True,86053,R-INC,-4.0,2.0,-0.56,-0.21,456411.43,528550.57,0,True,0.73,-0.77
ld18,2018,CHRIS THOBABEN,BRANDON VICK,44.44,40.82,3.62,1,True,69869,OPEN,0,-2.0,0.0,-2.63,27356.44,169825.46,1,True,-0.98,4.6
ld18,2020,KASSANDRA BESSERT,BRANDON VICK,38.75,40.82,-2.07,1,True,93980,R-INC,-4.0,0.0,3.0,-5.11,4618.67,159903.46,0,True,0.09,-2.16
ld18,2022,JOHN ZINGALE,STEPHANIE MCCLINTOCK,47.55,42.17,5.38,2,True,64324,OPEN,0,2.0,-2.37,-0.2,124208.77,142831.51,1,True,0.14,5.24
ld18,2024,DEKEN LETINICH,STEPHANIE MCCLINTOCK,44.28,45.2,-0.92,2,True,83666,OPEN,0,0.0,2.61,-0.3,193705.05,238203.71,0,True,2.99,-3.91
ld19,2018,ERIN FRASIER,JIM WALSH,49.52,47.91,1.61,1,True,56019,D-INC,3.5,-2.0,0.0,0.55,388890.67,265921.76,1,True,1.29,0.32
ld19,2020,MARIANNA EVERSON,JIM WALSH,40.62,47.91,-7.29,1,True,72940,D-INC,3.5,0.0,-1.44,-1.46,69062.74,190074.2,0,True,0.03,-7.32
ld19,2022,KELLI HUGHES-HAM,JIM WALSH,37.8,44.19,-6.39,2,True,63890,R-INC,-4.0,-2.0,-3.0,-2.84,19086.84,136413.17,1,True,-4.09,-2.3
ld19,2024,MIKE COVERDALE,JIM WALSH,39.94,41.24,-1.3,2,True,79374,R-INC,-4.0,-2.0,-3.0,-0.44,58943.93,79862.79,0,True,-2.88,1.58
ld20,2018,JOHN THOMPSON,RICHARD DEBOLT,37.98,32.42,5.56,1,True,61381,OPEN,0,0.0,0.0,-2.61,16071.91,97973.74,1,True,-0.13,5.69
ld20,2020,TIMOTHY ZAHN,PETER ABBARNO,29.16,32.42,-3.26,1,True,82563,R-INC,-4.0,2.0,0.0,,5724.05,,0,False,2.31,-5.57
