snapshot_date,state,db,panel,snapshot_table,match_tier,rows,total_donated,panel_rows,panel_total_donated
2026-07-27,WA,wa_statewide,voter_donor_affiliation,voter_donor_affiliation_alltier,STRICT_ZIP5_FULL,314974,517539184.1,382408,574210517.54
2026-07-27,WA,wa_statewide,voter_donor_affiliation,voter_donor_affiliation_alltier,STRICT_ZIP5_MID,6915,9150711.59,382408,574210517.54
2026-07-27,WA,wa_statewide,voter_donor_affiliation,voter_donor_affiliation_alltier,RELAXED_ZIP3_MID,15949,8476723.43,382408,574210517.54
2026-07-27,WA,wa_statewide,voter_donor_affiliation,voter_donor_affiliation_alltier,STRICT_ZIP5,44570,39043898.42,382408,574210517.54
2026-07-27,WA,wa_statewide,voter_donor_affiliation_fec,voter_donor_affiliation_fec_alltier,RELAXED_ZIP3_MID,4045,7267719.0,172998,420318577.0
2026-07-27,WA,wa_statewide,voter_donor_affiliation_fec,voter_donor_affiliation_fec_alltier,STRICT_ZIP5,18476,30457526.0,172998,420318577.0
2026-07-27,WA,wa_statewide,voter_donor_affiliation_fec,voter_donor_affiliation_fec_alltier,STRICT_ZIP5_FULL,147745,375258698.0,172998,420318577.0
2026-07-27,WA,wa_statewide,voter_donor_affiliation_fec,voter_donor_affiliation_fec_alltier,STRICT_ZIP5_MID,2732,7334634.0,172998,420318577.0
2026-07-27,WA,wa_statewide,voter_donor_affiliation_state,voter_donor_affiliation_state_alltier,RELAXED_ZIP3_MID,13446,2870651.72,269204,153865753.73
2026-07-27,WA,wa_statewide,voter_donor_affiliation_state,voter_donor_affiliation_state_alltier,STRICT_ZIP5_FULL,217114,135262764.19,269204,153865753.73
2026-07-27,WA,wa_statewide,voter_donor_affiliation_state,voter_donor_affiliation_state_alltier,STRICT_ZIP5_MID,5026,2756255.55,269204,153865753.73
2026-07-27,WA,wa_statewide,voter_donor_affiliation_state,voter_donor_affiliation_state_alltier,STRICT_ZIP5,33618,12976082.27,269204,153865753.73
2026-07-27,NY,ny_statewide,voter_donor_affiliation,voter_donor_affiliation_alltier,STRICT_ZIP5,29302,81741748.67,308032,1196162771.13
2026-07-27,NY,ny_statewide,voter_donor_affiliation,voter_donor_affiliation_alltier,STRICT_ZIP5_FULL,269396,1073198878.86,308032,1196162771.13
2026-07-27,NY,ny_statewide,voter_donor_affiliation,voter_donor_affiliation_alltier,STRICT_ZIP5_MID,3902,20911563.6,308032,1196162771.13
2026-07-27,NY,ny_statewide,voter_donor_affiliation,voter_donor_affiliation_alltier,RELAXED_ZIP3_MID,5432,20310580.0,308032,1196162771.13
2026-07-27,NY,ny_statewide,voter_donor_affiliation_fec,voter_donor_affiliation_fec_alltier,RELAXED_ZIP3_MID,5431,20310558.0,307841,1196103559.0
2026-07-27,NY,ny_statewide,voter_donor_affiliation_fec,voter_donor_affiliation_fec_alltier,STRICT_ZIP5,29292,81739250.0,307841,1196103559.0
2026-07-27,NY,ny_statewide,voter_donor_affiliation_fec,voter_donor_affiliation_fec_alltier,STRICT_ZIP5_FULL,269218,1073142341.0,307841,1196103559.0
2026-07-27,NY,ny_statewide,voter_donor_affiliation_fec,voter_donor_affiliation_fec_alltier,STRICT_ZIP5_MID,3900,20911410.0,307841,1196103559.0
2026-07-27,NY,ny_statewide,voter_donor_affiliation_state,voter_donor_affiliation_state_alltier,STRICT_ZIP5,42689,24497243.44,424020,379462216.83
2026-07-27,NY,ny_statewide,voter_donor_affiliation_state,voter_donor_affiliation_state_alltier,RELAXED_ZIP3_MID,1426,917061.31,424020,379462216.83
2026-07-27,NY,ny_statewide,voter_donor_affiliation_state,voter_donor_affiliation_state_alltier,STRICT_ZIP5_FULL,378383,353095093.12,424020,379462216.83
