advocacy_scope,specification,cycle,district_id,race_name,is_senate,pro_dem_usd,pro_rep_usd,net_pro_dem_musd,total_directional_musd,residual_pp,actual_margin
all,district_aggregate,2018,ld01,LEGISLATIVE DISTRICT 1 - STATE REPRESENTATIVE POS. 1,0,1749.66,0.0,0.00175,0.00175,-2.12,36.0
all,district_aggregate,2018,ld02,LEGISLATIVE DISTRICT 2 - STATE REPRESENTATIVE POS. 1,0,395.91,0.0,0.000396,0.000396,-2.26,-18.34
all,district_aggregate,2018,ld03,LEGISLATIVE DISTRICT 3 - STATE REPRESENTATIVE POS. 1,0,11485.74,377.52,0.011108,0.011863,-0.1,28.31
all,district_aggregate,2018,ld04,LEGISLATIVE DISTRICT 4 - STATE REPRESENTATIVE POS. 1,0,940.81,0.0,0.000941,0.000941,0.87,-15.48
all,district_aggregate,2018,ld06,LEGISLATIVE DISTRICT 6 - STATE REPRESENTATIVE POS. 1,0,99257.5,71333.77,0.027924,0.170591,-0.97,-6.91
all,district_aggregate,2018,ld07,LEGISLATIVE DISTRICT 7 - STATE REPRESENTATIVE POS. 1,0,1996.6,729.21,0.001267,0.002726,-4.81,-36.76
all,district_aggregate,2018,ld08,LEGISLATIVE DISTRICT 8 - STATE REPRESENTATIVE POS. 1,0,593.88,0.0,0.000594,0.000594,-7.12,-30.56
all,district_aggregate,2018,ld09,LEGISLATIVE DISTRICT 9 - STATE REPRESENTATIVE POS. 1,0,1336.73,10044.0,-0.008707,0.011381,-5.07,-28.16
all,district_aggregate,2018,ld10,LEGISLATIVE DISTRICT 10 - STATE REPRESENTATIVE POS. 1,0,170873.88,66928.56,0.103945,0.237802,0.38,-4.32
all,district_aggregate,2018,ld12,LEGISLATIVE DISTRICT 12 - STATE REPRESENTATIVE POS. 2,0,7282.42,486.12,0.006796,0.007769,-7.17,-27.6
all,district_aggregate,2018,ld13,LEGISLATIVE DISTRICT 13 - STATE REPRESENTATIVE POS. 1,0,103053.64,0.0,0.103054,0.103054,-8.27,-42.68
all,district_aggregate,2018,ld14,LEGISLATIVE DISTRICT 14 - STATE REPRESENTATIVE POS. 1,0,1336.73,0.0,0.001337,0.001337,-1.27,-17.49
all,district_aggregate,2018,ld15,LEGISLATIVE DISTRICT 15 - STATE REPRESENTATIVE POS. 1,0,1006.81,15000.0,-0.013993,0.016007,-4.84,-19.42
all,district_aggregate,2018,ld16,LEGISLATIVE DISTRICT 16 - STATE REPRESENTATIVE POS. 1,0,5836.73,5727.65,0.000109,0.011564,-4.18,-25.17
all,district_aggregate,2018,ld17,LEGISLATIVE DISTRICT 17 - STATE REPRESENTATIVE POS. 1,0,220247.37,26504.76,0.193743,0.246752,2.94,-1.3
all,district_aggregate,2018,ld18,LEGISLATIVE DISTRICT 18 - STATE REPRESENTATIVE POS. 1,0,10697.49,53446.96,-0.042749,0.064144,-0.12,-11.12
all,district_aggregate,2018,ld19,LEGISLATIVE DISTRICT 19 - STATE REPRESENTATIVE POS. 1,0,392796.74,186045.86,0.206751,0.578843,-7.96,-0.97
all,district_aggregate,2018,ld20,LEGISLATIVE DISTRICT 20 - STATE REPRESENTATIVE POS. 1,0,791.83,0.0,0.000792,0.000792,-0.58,-24.04
all,district_aggregate,2018,ld21,LEGISLATIVE DISTRICT 21 - STATE REPRESENTATIVE POS. 1,0,1630.11,0.0,0.00163,0.00163,-6.79,31.52
all,district_aggregate,2018,ld24,LEGISLATIVE DISTRICT 24 - STATE REPRESENTATIVE POS. 1,0,659.86,24152.75,-0.023493,0.024813,-9.1,16.01
all,district_aggregate,2018,ld25,LEGISLATIVE DISTRICT 25 - STATE REPRESENTATIVE POS. 1,0,112396.65,303856.49,-0.19146,0.416253,-1.34,-1.12
all,district_aggregate,2018,ld26,LEGISLATIVE DISTRICT 26 - STATE REPRESENTATIVE POS. 1,0,1010880.9,1344737.0,-0.333856,2.355618,-1.72,-3.74
all,district_aggregate,2018,ld27,LEGISLATIVE DISTRICT 27 - STATE REPRESENTATIVE POS. 1,0,804.2,0.0,0.000804,0.000804,-5.8,42.46
all,district_aggregate,2018,ld28,LEGISLATIVE DISTRICT 28 - STATE REPRESENTATIVE POS. 1,0,365189.53,19438.86,0.345751,0.384628,-6.8,5.64
all,district_aggregate,2018,ld29,LEGISLATIVE DISTRICT 29 - STATE REPRESENTATIVE POS. 1,0,9380.96,78178.29,-0.068797,0.087559,-8.11,22.23
all,district_aggregate,2018,ld30,LEGISLATIVE DISTRICT 30 - STATE REPRESENTATIVE POS. 1,0,749788.6,978566.34,-0.228778,1.728355,2.9,6.26
