county,registered_voters,ballots_counted,source_url,retrieved
ADAMS,8641,2741,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
ASOTIN,15126,6213,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
BENTON,136741,43791,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
CHELAN,54725,18931,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
CLALLAM,59529,28203,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
CLARK,355841,123410,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
COLUMBIA,3025,1527,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
COWLITZ,77869,26017,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
DOUGLAS,28097,9752,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
FERRY,5208,2021,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
FRANKLIN,48781,11863,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
GARFIELD,1685,990,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
GRANT,52158,15927,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
GRAYS HARBOR,51765,16119,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
ISLAND,65236,26881,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
JEFFERSON,28875,15352,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
KING,1444306,654742,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
KITSAP,201217,86960,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
KITTITAS,32251,13454,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
KLICKITAT,16421,6368,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
LEWIS,58913,20389,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
LINCOLN,8811,3836,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
MASON,47829,18300,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
OKANOGAN,27133,10457,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
PACIFIC,17910,7851,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
PEND OREILLE,11171,3881,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
PIERCE,591409,200434,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
SAN JUAN,15154,8548,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
SKAGIT,90418,36097,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
SKAMANIA,9462,3385,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
SNOHOMISH,541376,190493,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
SPOKANE,372866,148064,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
STEVENS,35748,13170,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
THURSTON,213369,84944,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
WAHKIAKUM,3661,2010,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
WALLA WALLA,38697,14338,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
WHATCOM,169242,76618,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
WHITMAN,24668,10234,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
YAKIMA,135537,37114,https://results.vote.wa.gov/results/20251104/turnout.html,2026-08-15
