district,n_candidates,winner_party,winner_name,winner_votes,runner_party,runner_votes,uncontested,margin_pct
1,1,R,GARY VANDEAVER,66843,,0,True,
2,2,R,BRENT A. MONEY,71222,D,17182,False,61.13
3,1,R,CECIL BELL JR,85793,,0,True,
4,2,R,KEITH BELL,60287,D,26240,False,39.35
5,2,R,COLE HEFNER,74381,W,910,False,97.58
6,2,R,DANIEL ALDERS,56497,D,22158,False,43.66
7,2,R,JAY DEAN,59056,D,20520,False,48.43
8,2,R,CODY HARRIS,60938,D,13961,False,62.72
9,1,R,TRENT ASHBY,74006,,0,True,
10,2,R,BRIAN HARRISON,68706,W,888,False,97.45
11,1,R,JOANNE SHOFNER,62338,,0,True,
12,2,R,TREY WHARTON,64105,D,19325,False,53.67
13,2,R,ANGELIA ORR,55317,D,17301,False,52.35
14,2,R,PAUL DYSON,40262,D,26332,False,20.92
15,1,R,STEVE TOTH,73720,,0,True,
16,2,R,WILL METCALF,73385,D,17930,False,60.73
17,2,R,STAN GERDES,53531,D,27389,False,32.31
18,2,R,JANIS HOLT,69326,L,10749,False,73.15
19,2,R,ELLEN TROXCLAIR,87416,D,31486,False,47.04
20,2,R,TERRY M. WILSON,64086,D,43148,False,19.53
21,1,R,DADE PHELAN,66398,,0,True,
22,1,D,CHRISTIAN MANUEL,34336,,0,True,
23,2,R,TERRI LEO WILSON,53841,D,26680,False,33.73
24,1,R,GREG BONNEN,78761,,0,True,
25,2,R,CODY THANE VASUT,47002,D,29999,False,22.08
26,2,R,MATT MORGAN,48561,D,33505,False,18.35
27,2,D,RONALD REYNOLDS,57594,R,24908,False,39.62
28,2,R,GARY GATES,56890,D,37058,False,21.11
29,2,R,JEFFREY BARRY,49655,D,31060,False,23.04
30,2,R,AJ LOUDERBACK,57180,D,17120,False,53.92
31,1,R,RYAN GUILLEN,50653,,0,True,
32,2,R,TODD HUNTER,54091,D,24656,False,37.38
33,1,R,KATRINA PIERSON,70996,,0,True,
34,2,R,DENISE VILLALOBOS,28553,D,23013,False,10.74
35,1,D,OSCAR LONGORIA,25896,,0,True,
36,1,D,SERGIO MUNOZ JR,32483,,0,True,
37,2,R,JANIE LOPEZ,30590,D,25014,False,10.03
38,1,D,ERIN ELIZABETH GAMEZ,33944,,0,True,
39,2,D,ARMANDO MARTINEZ,26962,R,17308,False,21.81
40,1,D,TERRY CANALES,34671,,0,True,
41,2,D,BOBBY GUERRA,30589,R,26618,False,6.94
42,1,D,RICHARD PENA RAYMOND,38584,,0,True,
43,2,R,J.M. LOZANO,43812,D,21842,False,33.46
44,2,R,ALAN SCHOOLCRAFT,57466,D,30780,False,30.24
45,2,D,ERIN ZWIENER,52912,R,40312,False,13.52
46,2,D,SHERYL COLE,60832,R,22223,False,46.49
47,2,D,VIKKI GOODWIN,59016,R,39066,False,20.34
48,2,D,DONNA HOWARD,72631,L,14871,False,66.01
49,1,D,GINA HINOJOSA,80498,,0,True,
50,1,D,JAMES TALARICO,48289,,0,True,
51,1,D,MARIA LUISA FLORES,52801,,0,True,
52,2,R,CAROLINE HARRIS DAVILA,62830,D,48884,False,12.48
53,2,R,WES VIRDELL,76176,D,21058,False,56.69
54,2,R,BRAD BUCKLEY,34526,D,21993,False,22.17
55,2,R,HILLARY HICKLAND,39455,D,29269,False,14.82
56,2,R,PAT CURRY,56195,D,25733,False,37.18
57,2,R,RICHARD HAYES,51865,D,34279,False,20.41
58,2,R,HELEN KERWIN,63760,L,13935,False,64.13
59,2,R,SHELBY SLAWSON,64147,D,15367,False,61.35
60,1,R,MIKE OLCOTT,93326,,0,True,
61,2,R,KERESA RICHARDSON,58513,D,39632,False,19.24
62,2,R,SHELLEY LUTHER,67062,D,19240,False,55.41
63,2,R,BEN BUMGARNER,46861,D,37326,False,11.33
64,2,R,ANDY HOPPER,59542,D,34786,False,26.24
65,2,R,MITCH LITTLE,60284,D,39686,False,20.6
66,2,R,MATT SHAHEEN,58294,D,37098,False,22.22
67,2,R,JEFF LEACH,56107,D,37051,False,20.46
68,2,R,DAVID SPILLER,79554,D,11705,False,74.35
69,2,R,JAMES B FRANK,53583,D,14518,False,57.36
70,2,D,MIHAELA ELIZABETH PLESA,38183,R,34933,False,4.44
71,2,R,STAN LAMBERT,58413,D,13678,False,62.05
72,1,R,DREW DARBY,57821,,0,True,
73,2,R,CARRIE ISAAC,91924,D,36686,False,42.95
74,2,D,EDDIE MORALES JR,28203,R,26378,False,3.34
75,1,D,MARY E. GONZALEZ,35033,,0,True,
76,2,D,SULEMAN LALANI,39770,R,30615,False,13.01
77,1,D,VINCENT PEREZ,35427,,0,True,
78,1,D,JOE MOODY,45474,,0,True,
79,1,D,CLAUDIA ORDAZ,41652,,0,True,
80,2,R,DON MCLAUGHLIN JR,31182,D,21231,False,18.99
