district,verification,winner_name,winner_party_OBSERVED,winner_votes,party_source,retired_imputed_party,imputation_was_correct,pres_margin_D_minus_R,classification,reason_absent_from_TLC
1,certified: single candidate on the SoS results service,GARY VANDEAVER,R,66843,OBSERVED from certified returns,R,True,-56.1,no major-party choice,TLC omits uncontested races at every stage
3,certified: single candidate on the SoS results service,CECIL BELL JR,R,85793,OBSERVED from certified returns,R,True,-52.8,no major-party choice,TLC omits uncontested races at every stage
9,certified: single candidate on the SoS results service,TRENT ASHBY,R,74006,OBSERVED from certified returns,R,True,-58.4,no major-party choice,TLC omits uncontested races at every stage
11,certified: single candidate on the SoS results service,JOANNE SHOFNER,R,62338,OBSERVED from certified returns,R,True,-56.7,no major-party choice,TLC omits uncontested races at every stage
15,certified: single candidate on the SoS results service,STEVE TOTH,R,73720,OBSERVED from certified returns,R,True,-27.4,no major-party choice,TLC omits uncontested races at every stage
21,certified: single candidate on the SoS results service,DADE PHELAN,R,66398,OBSERVED from certified returns,R,True,-58.7,no major-party choice,TLC omits uncontested races at every stage
22,certified: single candidate on the SoS results service,CHRISTIAN MANUEL,D,34336,OBSERVED from certified returns,D,True,12.1,no major-party choice,TLC omits uncontested races at every stage
24,certified: single candidate on the SoS results service,GREG BONNEN,R,78761,OBSERVED from certified returns,R,True,-35.6,no major-party choice,TLC omits uncontested races at every stage
31,certified: single candidate on the SoS results service,RYAN GUILLEN,R,50653,OBSERVED from certified returns,R,True,-37.1,no major-party choice,TLC omits uncontested races at every stage
33,certified: single candidate on the SoS results service,KATRINA PIERSON,R,70996,OBSERVED from certified returns,R,True,-26.7,no major-party choice,TLC omits uncontested races at every stage
35,certified: single candidate on the SoS results service,OSCAR LONGORIA,D,25896,OBSERVED from certified returns,R,False,-6.9,no major-party choice,TLC omits uncontested races at every stage
36,certified: single candidate on the SoS results service,SERGIO MUNOZ JR,D,32483,OBSERVED from certified returns,R,False,-5.8,no major-party choice,TLC omits uncontested races at every stage
38,certified: single candidate on the SoS results service,ERIN ELIZABETH GAMEZ,D,33944,OBSERVED from certified returns,D,True,0.7,no major-party choice,TLC omits uncontested races at every stage
40,certified: single candidate on the SoS results service,TERRY CANALES,D,34671,OBSERVED from certified returns,R,False,-0.0,no major-party choice,TLC omits uncontested races at every stage
42,certified: single candidate on the SoS results service,RICHARD PENA RAYMOND,D,38584,OBSERVED from certified returns,R,False,-0.5,no major-party choice,TLC omits uncontested races at every stage
49,certified: single candidate on the SoS results service,GINA HINOJOSA,D,80498,OBSERVED from certified returns,D,True,62.0,no major-party choice,TLC omits uncontested races at every stage
50,certified: single candidate on the SoS results service,JAMES TALARICO,D,48289,OBSERVED from certified returns,D,True,48.9,no major-party choice,TLC omits uncontested races at every stage
51,certified: single candidate on the SoS results service,MARIA LUISA FLORES,D,52801,OBSERVED from certified returns,D,True,54.3,no major-party choice,TLC omits uncontested races at every stage
60,certified: single candidate on the SoS results service,MIKE OLCOTT,R,93326,OBSERVED from certified returns,R,True,-67.5,no major-party choice,TLC omits uncontested races at every stage
72,certified: single candidate on the SoS results service,DREW DARBY,R,57821,OBSERVED from certified returns,R,True,-56.7,no major-party choice,TLC omits uncontested races at every stage
75,certified: single candidate on the SoS results service,MARY E. GONZALEZ,D,35033,OBSERVED from certified returns,D,True,4.7,no major-party choice,TLC omits uncontested races at every stage
77,certified: single candidate on the SoS results service,VINCENT PEREZ,D,35427,OBSERVED from certified returns,D,True,31.8,no major-party choice,TLC omits uncontested races at every stage
78,certified: single candidate on the SoS results service,JOE MOODY,D,45474,OBSERVED from certified returns,D,True,9.2,no major-party choice,TLC omits uncontested races at every stage
79,certified: single candidate on the SoS results service,CLAUDIA ORDAZ,D,41652,OBSERVED from certified returns,D,True,19.4,no major-party choice,TLC omits uncontested races at every stage
81,certified: single candidate on the SoS results service,BROOKS LANDGRAF,R,41508,OBSERVED from certified returns,R,True,-55.0,no major-party choice,TLC omits uncontested races at every stage
83,certified: single candidate on the SoS results service,DUSTIN BURROWS,R,69899,OBSERVED from certified returns,R,True,-56.9,no major-party choice,TLC omits uncontested races at every stage
